0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.0
3	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.13
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	
-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.00	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.00	-0
.06	-0.16
0.00	-0.06	-0.13
0.03	-0.06	-0.22
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.06	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.00	-0.0
6	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.00	-0.06	
-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.22
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.00	-0.06	-0.19
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0
.13
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.13
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.1
6
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.13	-0.19
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0
.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.13
0.00	-0.06	-0.19
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.1
3
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.13
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.00	-0.09	-0.16
0.0
3	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.06	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0
.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0
.06	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	
-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.00	-0.06	-0.19
0.00	-0.06	-0.13
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.00	-0.09	-0.13
0.00	-0.06	-0.16
0.03	-0.09	
-0.19
0.03	-0.09	-0.13
0.00	-0.09	-0.19
0.00	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.00	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.13
0.03	-0.0
9	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.13
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.03	-0.09	-0.13
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.13
0.06	-0.09	-0.19
0.00	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.1
9
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.06	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.09	-0.16

0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.19
0.03	-0.09	-0.13
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.1
6
0.03	-0.09	-0.13
0.03	-0.06	-0.22
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16

0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.06	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0
.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.06	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.22
0.00	-0.06	-0.16
0.00	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.0
3	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.0
6	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.09	-0.13
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.06	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.00	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.0
3	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.00	-0.06	-0
.16
0.03	-0.09	-0.22
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.00	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	
-0.13
0.03	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.00	-0.06	-0.19
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.16
0.03	-0.06	-0.16

0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.13	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0
.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.00	-0.06	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.06	-0.09	-0.22
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.06	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.16

0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.00	-0.06	-0.13
0.03	-0.06	-0.16
0.00	
-0.09	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.00	-0.09	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.00	-0.09	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.00	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.0
3	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.06	-0.06	-0.16
0.00	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.0
6	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.13
0.00	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.00	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0
.09	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.00	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.0
6	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.13	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.06	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	
-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0
.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.06	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.00	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.13
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.13	-0.19
0.03	-0.06	-0.13
0.03	-0.09	-0.13
0.03	-0.06	-0.16
0.03	-0.09	-0.1
9
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.22
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16

0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.13
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.06	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0
.03	-0.06	-0.19
0.00	-0.09	-0.13
0.03	-0.09	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.22
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.06	-0.16

0.03	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.13
0.03	-0.09	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.09	-0.09
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.03	
-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.00	-0.06	-0.13
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.03	-0.09	-0.19
0.03	-0.09	-0.22
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.19
0.00	-0
.06	-0.13
0.03	-0.09	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.13
0.00	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.13
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.00	-0.09	-0.19
0.03	-0.09	-0.13
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.0
6	-0.16
0.03	-0.06	-0.19
0.00	-0.03	-0.19
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.00	-0.09	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.09	-0.19
0.03	-0.09	-0.16
0.03	-0.06	-0.19
0.03	-0.06	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.19
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.00	-0.06	-0.16
0.00	-0.06	-0.16
0.03	-0
.09	-0.19
0.03	-0.06	-0.13
0.03	-0.09	-0.13
0.00	-0.06	-0.13
0.03	-0.09	-0.16
0.00	-0.06	-0.19
0.00	-0.06	-0.16
0.00	-0.09	-0.16
0.03	-0.06	-0.13
0.03	-0.06	-0.16
0.00	-0.09	-0.16
0.00	-0.06	-0.19
0.00	-0.06	-0.16
0.03	-0.06	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
0.03	-0.09	-0.16
0.03	-0.09	-0.19
0.03	-0.06	-0.16
